row,col,ditrune_ternary,upper_trigram,lower_trigram,element_trigram,element_position,rel_prefix,central_trigram,central_en,central_el,element_suffix_en,element_suffix_el,operator_token,true_token
2,2,200121,200,121,200,upper,HYPER,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,CTH,ΧΘΝ,HYPERQuickGlyphCTH,ΥΠΕΡΤΑΧΥΓΡΑΜΜΑΧΘΝ
2,3,121020,121,020,020,lower,HYPO,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,HYD,ΥΔΡ,HYPOQuickGlyphHYD,ΥΠΟΤΑΧΥΓΡΑΜΜΑΥΔΡ
2,4,020121,020,121,020,upper,HYPER,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,HYD,ΥΔΡ,HYPERQuickGlyphHYD,ΥΠΕΡΤΑΧΥΓΡΑΜΜΑΥΔΡ
2,5,121002,121,002,002,lower,HYPO,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,KAT,ΚΑΤ,HYPOQuickGlyphKAT,ΥΠΟΤΑΧΥΓΡΑΜΜΑΚΑΤ
2,6,002121,002,121,002,upper,HYPER,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,KAT,ΚΑΤ,HYPERQuickGlyphKAT,ΥΠΕΡΤΑΧΥΓΡΑΜΜΑΚΑΤ
2,7,121121,121,121,,none,,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,,,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ
2,8,001121,001,121,001,upper,HYPER,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,OMB,ΩΜΒ,HYPERQuickGlyphOMB,ΥΠΕΡΤΑΧΥΓΡΑΜΜΑΩΜΒ
2,9,121001,121,001,001,lower,HYPO,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,OMB,ΩΜΒ,HYPOQuickGlyphOMB,ΥΠΟΤΑΧΥΓΡΑΜΜΑΩΜΒ
2,10,010121,010,121,010,upper,HYPER,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,FRO,ΦΡΟ,HYPERQuickGlyphFRO,ΥΠΕΡΤΑΧΥΓΡΑΜΜΑΦΡΟ
2,11,121010,121,010,010,lower,HYPO,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,FRO,ΦΡΟ,HYPOQuickGlyphFRO,ΥΠΟΤΑΧΥΓΡΑΜΜΑΦΡΟ
2,12,100121,100,121,100,upper,HYPER,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,AER,ΑΗΡ,HYPERQuickGlyphAER,ΥΠΕΡΤΑΧΥΓΡΑΜΜΑΑΗΡ
2,13,121100,121,100,100,lower,HYPO,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,AER,ΑΗΡ,HYPOQuickGlyphAER,ΥΠΟΤΑΧΥΓΡΑΜΜΑΑΗΡ
3,1,112200,112,200,200,lower,HYPO,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,CTH,ΧΘΝ,HYPOBoundaryRingCTH,ΥΠΟΟΡΙΟΔΑΚΤΥΛΙΟΣΧΘΝ
3,2,200112,200,112,200,upper,HYPER,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,CTH,ΧΘΝ,HYPERBoundaryRingCTH,ΥΠΕΡΟΡΙΟΔΑΚΤΥΛΙΟΣΧΘΝ
3,3,112020,112,020,020,lower,HYPO,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,HYD,ΥΔΡ,HYPOBoundaryRingHYD,ΥΠΟΟΡΙΟΔΑΚΤΥΛΙΟΣΥΔΡ
3,4,020112,020,112,020,upper,HYPER,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,HYD,ΥΔΡ,HYPERBoundaryRingHYD,ΥΠΕΡΟΡΙΟΔΑΚΤΥΛΙΟΣΥΔΡ
3,5,112002,112,002,002,lower,HYPO,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,KAT,ΚΑΤ,HYPOBoundaryRingKAT,ΥΠΟΟΡΙΟΔΑΚΤΥΛΙΟΣΚΑΤ
3,6,002112,002,112,002,upper,HYPER,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,KAT,ΚΑΤ,HYPERBoundaryRingKAT,ΥΠΕΡΟΡΙΟΔΑΚΤΥΛΙΟΣΚΑΤ
3,7,112112,112,112,,none,,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,,,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ
3,8,001112,001,112,001,upper,HYPER,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,OMB,ΩΜΒ,HYPERBoundaryRingOMB,ΥΠΕΡΟΡΙΟΔΑΚΤΥΛΙΟΣΩΜΒ
3,9,112001,112,001,001,lower,HYPO,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,OMB,ΩΜΒ,HYPOBoundaryRingOMB,ΥΠΟΟΡΙΟΔΑΚΤΥΛΙΟΣΩΜΒ
3,10,010112,010,112,010,upper,HYPER,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,FRO,ΦΡΟ,HYPERBoundaryRingFRO,ΥΠΕΡΟΡΙΟΔΑΚΤΥΛΙΟΣΦΡΟ
3,11,112010,112,010,010,lower,HYPO,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,FRO,ΦΡΟ,HYPOBoundaryRingFRO,ΥΠΟΟΡΙΟΔΑΚΤΥΛΙΟΣΦΡΟ
3,12,100112,100,112,100,upper,HYPER,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,AER,ΑΗΡ,HYPERBoundaryRingAER,ΥΠΕΡΟΡΙΟΔΑΚΤΥΛΙΟΣΑΗΡ
3,13,112100,112,100,100,lower,HYPO,112,BoundaryRing,ΟΡΙΟΔΑΚΤΥΛΙΟΣ,AER,ΑΗΡ,HYPOBoundaryRingAER,ΥΠΟΟΡΙΟΔΑΚΤΥΛΙΟΣΑΗΡ
4,1,111200,111,200,200,lower,HYPO,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,CTH,ΧΘΝ,HYPORadiantAxisCTH,ΥΠΟΑΚΤΙΝΟΑΞΩΝΧΘΝ
4,2,200111,200,111,200,upper,HYPER,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,CTH,ΧΘΝ,HYPERRadiantAxisCTH,ΥΠΕΡΑΚΤΙΝΟΑΞΩΝΧΘΝ
4,3,111020,111,020,020,lower,HYPO,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,HYD,ΥΔΡ,HYPORadiantAxisHYD,ΥΠΟΑΚΤΙΝΟΑΞΩΝΥΔΡ
4,4,020111,020,111,020,upper,HYPER,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,HYD,ΥΔΡ,HYPERRadiantAxisHYD,ΥΠΕΡΑΚΤΙΝΟΑΞΩΝΥΔΡ
4,5,111002,111,002,002,lower,HYPO,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,KAT,ΚΑΤ,HYPORadiantAxisKAT,ΥΠΟΑΚΤΙΝΟΑΞΩΝΚΑΤ
4,6,002111,002,111,002,upper,HYPER,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,KAT,ΚΑΤ,HYPERRadiantAxisKAT,ΥΠΕΡΑΚΤΙΝΟΑΞΩΝΚΑΤ
4,7,111111,111,111,,none,,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,,,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ
4,8,001111,001,111,001,upper,HYPER,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,OMB,ΩΜΒ,HYPERRadiantAxisOMB,ΥΠΕΡΑΚΤΙΝΟΑΞΩΝΩΜΒ
4,9,111001,111,001,001,lower,HYPO,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,OMB,ΩΜΒ,HYPORadiantAxisOMB,ΥΠΟΑΚΤΙΝΟΑΞΩΝΩΜΒ
4,10,010111,010,111,010,upper,HYPER,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,FRO,ΦΡΟ,HYPERRadiantAxisFRO,ΥΠΕΡΑΚΤΙΝΟΑΞΩΝΦΡΟ
4,11,111010,111,010,010,lower,HYPO,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,FRO,ΦΡΟ,HYPORadiantAxisFRO,ΥΠΟΑΚΤΙΝΟΑΞΩΝΦΡΟ
4,12,100111,100,111,100,upper,HYPER,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,AER,ΑΗΡ,HYPERRadiantAxisAER,ΥΠΕΡΑΚΤΙΝΟΑΞΩΝΑΗΡ
4,13,111100,111,100,100,lower,HYPO,111,RadiantAxis,ΑΚΤΙΝΟΑΞΩΝ,AER,ΑΗΡ,HYPORadiantAxisAER,ΥΠΟΑΚΤΙΝΟΑΞΩΝΑΗΡ
5,1,110200,110,200,200,lower,HYPO,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,CTH,ΧΘΝ,HYPOSolarCrownCTH,ΥΠΟΗΛΙΟΣΤΕΦΑΝΟΣΧΘΝ
5,2,200110,200,110,200,upper,HYPER,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,CTH,ΧΘΝ,HYPERSolarCrownCTH,ΥΠΕΡΗΛΙΟΣΤΕΦΑΝΟΣΧΘΝ
5,3,110020,110,020,020,lower,HYPO,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,HYD,ΥΔΡ,HYPOSolarCrownHYD,ΥΠΟΗΛΙΟΣΤΕΦΑΝΟΣΥΔΡ
5,4,020110,020,110,020,upper,HYPER,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,HYD,ΥΔΡ,HYPERSolarCrownHYD,ΥΠΕΡΗΛΙΟΣΤΕΦΑΝΟΣΥΔΡ
5,5,110002,110,002,002,lower,HYPO,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,KAT,ΚΑΤ,HYPOSolarCrownKAT,ΥΠΟΗΛΙΟΣΤΕΦΑΝΟΣΚΑΤ
5,6,002110,002,110,002,upper,HYPER,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,KAT,ΚΑΤ,HYPERSolarCrownKAT,ΥΠΕΡΗΛΙΟΣΤΕΦΑΝΟΣΚΑΤ
5,7,110110,110,110,,none,,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,,,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ
5,8,001110,001,110,001,upper,HYPER,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,OMB,ΩΜΒ,HYPERSolarCrownOMB,ΥΠΕΡΗΛΙΟΣΤΕΦΑΝΟΣΩΜΒ
5,9,110001,110,001,001,lower,HYPO,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,OMB,ΩΜΒ,HYPOSolarCrownOMB,ΥΠΟΗΛΙΟΣΤΕΦΑΝΟΣΩΜΒ
5,10,010110,010,110,010,upper,HYPER,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,FRO,ΦΡΟ,HYPERSolarCrownFRO,ΥΠΕΡΗΛΙΟΣΤΕΦΑΝΟΣΦΡΟ
5,11,110010,110,010,010,lower,HYPO,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,FRO,ΦΡΟ,HYPOSolarCrownFRO,ΥΠΟΗΛΙΟΣΤΕΦΑΝΟΣΦΡΟ
5,12,100110,100,110,100,upper,HYPER,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,AER,ΑΗΡ,HYPERSolarCrownAER,ΥΠΕΡΗΛΙΟΣΤΕΦΑΝΟΣΑΗΡ
5,13,110100,110,100,100,lower,HYPO,110,SolarCrown,ΗΛΙΟΣΤΕΦΑΝΟΣ,AER,ΑΗΡ,HYPOSolarCrownAER,ΥΠΟΗΛΙΟΣΤΕΦΑΝΟΣΑΗΡ
6,1,101200,101,200,200,lower,HYPO,101,VernalGate,ΕΑΡΟΠΥΛΗ,CTH,ΧΘΝ,HYPOVernalGateCTH,ΥΠΟΕΑΡΟΠΥΛΗΧΘΝ
6,2,200101,200,101,200,upper,HYPER,101,VernalGate,ΕΑΡΟΠΥΛΗ,CTH,ΧΘΝ,HYPERVernalGateCTH,ΥΠΕΡΕΑΡΟΠΥΛΗΧΘΝ
6,3,101020,101,020,020,lower,HYPO,101,VernalGate,ΕΑΡΟΠΥΛΗ,HYD,ΥΔΡ,HYPOVernalGateHYD,ΥΠΟΕΑΡΟΠΥΛΗΥΔΡ
6,4,020101,020,101,020,upper,HYPER,101,VernalGate,ΕΑΡΟΠΥΛΗ,HYD,ΥΔΡ,HYPERVernalGateHYD,ΥΠΕΡΕΑΡΟΠΥΛΗΥΔΡ
6,5,101002,101,002,002,lower,HYPO,101,VernalGate,ΕΑΡΟΠΥΛΗ,KAT,ΚΑΤ,HYPOVernalGateKAT,ΥΠΟΕΑΡΟΠΥΛΗΚΑΤ
6,6,002101,002,101,002,upper,HYPER,101,VernalGate,ΕΑΡΟΠΥΛΗ,KAT,ΚΑΤ,HYPERVernalGateKAT,ΥΠΕΡΕΑΡΟΠΥΛΗΚΑΤ
6,7,101101,101,101,,none,,101,VernalGate,ΕΑΡΟΠΥΛΗ,,,VernalGate,ΕΑΡΟΠΥΛΗ
6,8,001101,001,101,001,upper,HYPER,101,VernalGate,ΕΑΡΟΠΥΛΗ,OMB,ΩΜΒ,HYPERVernalGateOMB,ΥΠΕΡΕΑΡΟΠΥΛΗΩΜΒ
6,9,101001,101,001,001,lower,HYPO,101,VernalGate,ΕΑΡΟΠΥΛΗ,OMB,ΩΜΒ,HYPOVernalGateOMB,ΥΠΟΕΑΡΟΠΥΛΗΩΜΒ
6,10,010101,010,101,010,upper,HYPER,101,VernalGate,ΕΑΡΟΠΥΛΗ,FRO,ΦΡΟ,HYPERVernalGateFRO,ΥΠΕΡΕΑΡΟΠΥΛΗΦΡΟ
6,11,101010,101,010,010,lower,HYPO,101,VernalGate,ΕΑΡΟΠΥΛΗ,FRO,ΦΡΟ,HYPOVernalGateFRO,ΥΠΟΕΑΡΟΠΥΛΗΦΡΟ
6,12,100101,100,101,100,upper,HYPER,101,VernalGate,ΕΑΡΟΠΥΛΗ,AER,ΑΗΡ,HYPERVernalGateAER,ΥΠΕΡΕΑΡΟΠΥΛΗΑΗΡ
6,13,101100,101,100,100,lower,HYPO,101,VernalGate,ΕΑΡΟΠΥΛΗ,AER,ΑΗΡ,HYPOVernalGateAER,ΥΠΟΕΑΡΟΠΥΛΗΑΗΡ
7,1,102200,102,200,200,lower,HYPO,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,CTH,ΧΘΝ,HYPOBalanceBeamCTH,ΥΠΟΙΣΟΡΡΟΠΟΔΟΚΟΣΧΘΝ
7,2,200102,200,102,200,upper,HYPER,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,CTH,ΧΘΝ,HYPERBalanceBeamCTH,ΥΠΕΡΙΣΟΡΡΟΠΟΔΟΚΟΣΧΘΝ
7,3,102020,102,020,020,lower,HYPO,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,HYD,ΥΔΡ,HYPOBalanceBeamHYD,ΥΠΟΙΣΟΡΡΟΠΟΔΟΚΟΣΥΔΡ
7,4,020102,020,102,020,upper,HYPER,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,HYD,ΥΔΡ,HYPERBalanceBeamHYD,ΥΠΕΡΙΣΟΡΡΟΠΟΔΟΚΟΣΥΔΡ
7,5,102002,102,002,002,lower,HYPO,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,KAT,ΚΑΤ,HYPOBalanceBeamKAT,ΥΠΟΙΣΟΡΡΟΠΟΔΟΚΟΣΚΑΤ
7,6,002102,002,102,002,upper,HYPER,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,KAT,ΚΑΤ,HYPERBalanceBeamKAT,ΥΠΕΡΙΣΟΡΡΟΠΟΔΟΚΟΣΚΑΤ
7,7,102102,102,102,,none,,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,,,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ
7,8,001102,001,102,001,upper,HYPER,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,OMB,ΩΜΒ,HYPERBalanceBeamOMB,ΥΠΕΡΙΣΟΡΡΟΠΟΔΟΚΟΣΩΜΒ
7,9,102001,102,001,001,lower,HYPO,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,OMB,ΩΜΒ,HYPOBalanceBeamOMB,ΥΠΟΙΣΟΡΡΟΠΟΔΟΚΟΣΩΜΒ
7,10,010102,010,102,010,upper,HYPER,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,FRO,ΦΡΟ,HYPERBalanceBeamFRO,ΥΠΕΡΙΣΟΡΡΟΠΟΔΟΚΟΣΦΡΟ
7,11,102010,102,010,010,lower,HYPO,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,FRO,ΦΡΟ,HYPOBalanceBeamFRO,ΥΠΟΙΣΟΡΡΟΠΟΔΟΚΟΣΦΡΟ
7,12,100102,100,102,100,upper,HYPER,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,AER,ΑΗΡ,HYPERBalanceBeamAER,ΥΠΕΡΙΣΟΡΡΟΠΟΔΟΚΟΣΑΗΡ
7,13,102100,102,100,100,lower,HYPO,102,BalanceBeam,ΙΣΟΡΡΟΠΟΔΟΚΟΣ,AER,ΑΗΡ,HYPOBalanceBeamAER,ΥΠΟΙΣΟΡΡΟΠΟΔΟΚΟΣΑΗΡ
8,1,120200,120,200,200,lower,HYPO,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,CTH,ΧΘΝ,HYPOEmergentFieldCTH,ΥΠΟΑΝΑΔΥΠΕΔΙΟΧΘΝ
8,2,200120,200,120,200,upper,HYPER,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,CTH,ΧΘΝ,HYPEREmergentFieldCTH,ΥΠΕΡΑΝΑΔΥΠΕΔΙΟΧΘΝ
8,3,120020,120,020,020,lower,HYPO,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,HYD,ΥΔΡ,HYPOEmergentFieldHYD,ΥΠΟΑΝΑΔΥΠΕΔΙΟΥΔΡ
8,4,020120,020,120,020,upper,HYPER,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,HYD,ΥΔΡ,HYPEREmergentFieldHYD,ΥΠΕΡΑΝΑΔΥΠΕΔΙΟΥΔΡ
8,5,120002,120,002,002,lower,HYPO,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,KAT,ΚΑΤ,HYPOEmergentFieldKAT,ΥΠΟΑΝΑΔΥΠΕΔΙΟΚΑΤ
8,6,002120,002,120,002,upper,HYPER,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,KAT,ΚΑΤ,HYPEREmergentFieldKAT,ΥΠΕΡΑΝΑΔΥΠΕΔΙΟΚΑΤ
8,7,120120,120,120,,none,,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,,,EmergentField,ΑΝΑΔΥΠΕΔΙΟ
8,8,001120,001,120,001,upper,HYPER,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,OMB,ΩΜΒ,HYPEREmergentFieldOMB,ΥΠΕΡΑΝΑΔΥΠΕΔΙΟΩΜΒ
8,9,120001,120,001,001,lower,HYPO,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,OMB,ΩΜΒ,HYPOEmergentFieldOMB,ΥΠΟΑΝΑΔΥΠΕΔΙΟΩΜΒ
8,10,010120,010,120,010,upper,HYPER,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,FRO,ΦΡΟ,HYPEREmergentFieldFRO,ΥΠΕΡΑΝΑΔΥΠΕΔΙΟΦΡΟ
8,11,120010,120,010,010,lower,HYPO,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,FRO,ΦΡΟ,HYPOEmergentFieldFRO,ΥΠΟΑΝΑΔΥΠΕΔΙΟΦΡΟ
8,12,100120,100,120,100,upper,HYPER,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,AER,ΑΗΡ,HYPEREmergentFieldAER,ΥΠΕΡΑΝΑΔΥΠΕΔΙΟΑΗΡ
8,13,120100,120,100,100,lower,HYPO,120,EmergentField,ΑΝΑΔΥΠΕΔΙΟ,AER,ΑΗΡ,HYPOEmergentFieldAER,ΥΠΟΑΝΑΔΥΠΕΔΙΟΑΗΡ
9,1,011200,011,200,200,lower,HYPO,011,ArrowFire,ΤΟΞΟΠΥΡ,CTH,ΧΘΝ,HYPOArrowFireCTH,ΥΠΟΤΟΞΟΠΥΡΧΘΝ
9,2,200011,200,011,200,upper,HYPER,011,ArrowFire,ΤΟΞΟΠΥΡ,CTH,ΧΘΝ,HYPERArrowFireCTH,ΥΠΕΡΤΟΞΟΠΥΡΧΘΝ
9,3,011020,011,020,020,lower,HYPO,011,ArrowFire,ΤΟΞΟΠΥΡ,HYD,ΥΔΡ,HYPOArrowFireHYD,ΥΠΟΤΟΞΟΠΥΡΥΔΡ
9,4,020011,020,011,020,upper,HYPER,011,ArrowFire,ΤΟΞΟΠΥΡ,HYD,ΥΔΡ,HYPERArrowFireHYD,ΥΠΕΡΤΟΞΟΠΥΡΥΔΡ
9,5,011002,011,002,002,lower,HYPO,011,ArrowFire,ΤΟΞΟΠΥΡ,KAT,ΚΑΤ,HYPOArrowFireKAT,ΥΠΟΤΟΞΟΠΥΡΚΑΤ
9,6,002011,002,011,002,upper,HYPER,011,ArrowFire,ΤΟΞΟΠΥΡ,KAT,ΚΑΤ,HYPERArrowFireKAT,ΥΠΕΡΤΟΞΟΠΥΡΚΑΤ
9,7,011011,011,011,,none,,011,ArrowFire,ΤΟΞΟΠΥΡ,,,ArrowFire,ΤΟΞΟΠΥΡ
9,8,001011,001,011,001,upper,HYPER,011,ArrowFire,ΤΟΞΟΠΥΡ,OMB,ΩΜΒ,HYPERArrowFireOMB,ΥΠΕΡΤΟΞΟΠΥΡΩΜΒ
9,9,011001,011,001,001,lower,HYPO,011,ArrowFire,ΤΟΞΟΠΥΡ,OMB,ΩΜΒ,HYPOArrowFireOMB,ΥΠΟΤΟΞΟΠΥΡΩΜΒ
9,10,010011,010,011,010,upper,HYPER,011,ArrowFire,ΤΟΞΟΠΥΡ,FRO,ΦΡΟ,HYPERArrowFireFRO,ΥΠΕΡΤΟΞΟΠΥΡΦΡΟ
9,11,011010,011,010,010,lower,HYPO,011,ArrowFire,ΤΟΞΟΠΥΡ,FRO,ΦΡΟ,HYPOArrowFireFRO,ΥΠΟΤΟΞΟΠΥΡΦΡΟ
9,12,100011,100,011,100,upper,HYPER,011,ArrowFire,ΤΟΞΟΠΥΡ,AER,ΑΗΡ,HYPERArrowFireAER,ΥΠΕΡΤΟΞΟΠΥΡΑΗΡ
9,13,011100,011,100,100,lower,HYPO,011,ArrowFire,ΤΟΞΟΠΥΡ,AER,ΑΗΡ,HYPOArrowFireAER,ΥΠΟΤΟΞΟΠΥΡΑΗΡ
10,1,012200,012,200,200,lower,HYPO,012,GranaryKey,ΣΙΤΟΚΛΕΙΣ,CTH,ΧΘΝ,HYPOGranaryKeyCTH,ΥΠΟΣΙΤΟΚΛΕΙΣΧΘΝ
10,2,200012,200,012,200,upper,HYPER,012,GranaryKey,ΣΙΤΟΚΛΕΙΣ,CTH,ΧΘΝ,HYPERGranaryKeyCTH,ΥΠΕΡΣΙΤΟΚΛΕΙΣΧΘΝ
10,3,012020,012,020,020,lower,HYPO,012,GranaryKey,ΣΙΤΟΚΛΕΙΣ,HYD,ΥΔΡ,HYPOGranaryKeyHYD,ΥΠΟΣΙΤΟΚΛΕΙΣΥΔΡ
10,4,020012,020,012,020,upper,HYPER,012,GranaryKey,ΣΙΤΟΚΛΕΙΣ,HYD,ΥΔΡ,HYPERGranaryKeyHYD,ΥΠΕΡΣΙΤΟΚΛΕΙΣΥΔΡ
